"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.nums","Answer.nums","Answer.surveycode","Approve","Reject"
"3P0I4CQYVYETW3HS5EXG4HRC3T8OWY","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue May 24 10:06:07 PDT 2022","5","BatchId:4747316;OriginalHitTemplateId:920937340;","3600","259200","Tue May 31 10:06:07 PDT 2022","","","3JWH6J9I9TKMDZGZZA69QYAA9LGBNG","A304UJAE051J89","Submitted","Tue May 24 10:06:23 PDT 2022","Tue May 24 10:15:37 PDT 2022","Fri May 27 10:15:37 PDT 2022","","","","554","100% (9/9)","0% (0/0)","0% (0/0)","1","1","N2r2eHOlWQUjhi6Vwmrido"
"3P0I4CQYVYETW3HS5EXG4HRC3T8OWY","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue May 24 10:06:07 PDT 2022","5","BatchId:4747316;OriginalHitTemplateId:920937340;","3600","259200","Tue May 31 10:06:07 PDT 2022","","","3OJSZ2ATDT3VLY73ITY7RFOSZAP57Y","A2ZIMT269MD1QL","Submitted","Tue May 24 11:10:43 PDT 2022","Tue May 24 11:21:42 PDT 2022","Fri May 27 11:21:42 PDT 2022","","","","659","0% (0/0)","0% (0/0)","0% (0/0)","1","1","N2rHKoPtumJAthhUKILido"
"3P0I4CQYVYETW3HS5EXG4HRC3T8OWY","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue May 24 10:06:07 PDT 2022","5","BatchId:4747316;OriginalHitTemplateId:920937340;","3600","259200","Tue May 31 10:06:07 PDT 2022","","","3OONKJ5DKDQ4VKGB0P6M5NAFZVLBOV","A3GWRDHAURRNK6","Submitted","Tue May 24 11:31:52 PDT 2022","Tue May 24 11:36:01 PDT 2022","Fri May 27 11:36:01 PDT 2022","","","","249","100% (2/2)","0% (0/0)","0% (0/0)","1","1","N2rKx8TZSF-xCFJ9jsWido"
"3P0I4CQYVYETW3HS5EXG4HRC3T8OWY","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue May 24 10:06:07 PDT 2022","5","BatchId:4747316;OriginalHitTemplateId:920937340;","3600","259200","Tue May 31 10:06:07 PDT 2022","","","3PW9OPU9PRRPBF9EBUF0SYU3CEY21X","A340UGIDGIF4W6","Submitted","Tue May 24 13:07:21 PDT 2022","Tue May 24 13:41:28 PDT 2022","Fri May 27 13:41:28 PDT 2022","","","","2047","0% (0/0)","0% (0/0)","0% (0/0)","1","1","N2rmbPuvyVGCSzlBTziido"
"3P0I4CQYVYETW3HS5EXG4HRC3T8OWY","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue May 24 10:06:07 PDT 2022","5","BatchId:4747316;OriginalHitTemplateId:920937340;","3600","259200","Tue May 31 10:06:07 PDT 2022","","","3WT783CTPCO3MVJ8AKXVANGYAH3BCZ","A1BE5NGDU9B9JG","Submitted","Tue May 24 11:10:22 PDT 2022","Tue May 24 11:14:46 PDT 2022","Fri May 27 11:14:46 PDT 2022","","","","264","0% (0/0)","0% (0/0)","0% (0/0)","1","1","N2rGJqyZPA5sqx5VIwvido"
"3XDSWAMB22ZN3HO330PJHSF9QE8CQL","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue May 24 10:06:07 PDT 2022","5","BatchId:4747316;OriginalHitTemplateId:920937340;","3600","259200","Tue May 31 10:06:07 PDT 2022","","","31HQ4X3T3THV6LUGYJCP3VGL8EBSL5","A17AF42SNQNH9C","Submitted","Tue May 24 10:34:55 PDT 2022","Tue May 24 10:41:10 PDT 2022","Fri May 27 10:41:10 PDT 2022","","","","375","100% (9/9)","0% (0/0)","0% (0/0)","2","2","N2r8EuvTdKmi_CBGCUqido"
"3XDSWAMB22ZN3HO330PJHSF9QE8CQL","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue May 24 10:06:07 PDT 2022","5","BatchId:4747316;OriginalHitTemplateId:920937340;","3600","259200","Tue May 31 10:06:07 PDT 2022","","","3AWETUDC93ZQHW8O889K78LWEQDIZK","A2BA47V5IXY61L","Submitted","Tue May 24 11:35:38 PDT 2022","Tue May 24 12:04:36 PDT 2022","Fri May 27 12:04:36 PDT 2022","","","","1738","0% (0/0)","0% (0/0)","0% (0/0)","2","2","N2rR0Vhb0hNfFdAt837ido"
"3XDSWAMB22ZN3HO330PJHSF9QE8CQL","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue May 24 10:06:07 PDT 2022","5","BatchId:4747316;OriginalHitTemplateId:920937340;","3600","259200","Tue May 31 10:06:07 PDT 2022","","","3JW0YLFXRUN4OWNOM2TS9V0MCY1WW7","AHR7FTXQQ9LEV","Submitted","Tue May 24 11:03:03 PDT 2022","Tue May 24 12:01:32 PDT 2022","Fri May 27 12:01:32 PDT 2022","","","","3509","0% (0/0)","0% (0/0)","0% (0/0)","2","2","N2rQl3a4hSaIiMRsko1ido"
"3XDSWAMB22ZN3HO330PJHSF9QE8CQL","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue May 24 10:06:07 PDT 2022","5","BatchId:4747316;OriginalHitTemplateId:920937340;","3600","259200","Tue May 31 10:06:07 PDT 2022","","","3MHW492WW1KV4VT5SQI9EVFH7N8MVJ","AA5ZDXAA2DLY1","Submitted","Tue May 24 11:07:13 PDT 2022","Tue May 24 11:11:53 PDT 2022","Fri May 27 11:11:53 PDT 2022","","","","280","100% (2/2)","0% (0/0)","0% (0/0)","2","2","N2rFJaUBEW-ogbp31-_ido"
"3XDSWAMB22ZN3HO330PJHSF9QE8CQL","3U6Z1K5VYWQKE8TH0ONEVSHDOLL8NS","A quick game","A quick game - this game may only be played once.","game, simple, quick","$0.30","Tue May 24 10:06:07 PDT 2022","5","BatchId:4747316;OriginalHitTemplateId:920937340;","3600","259200","Tue May 31 10:06:07 PDT 2022","","","3WZ36BJEV4NK8CLJW6SLZXG2Y32BTH","A1FHC4Z6QXDQSS","Submitted","Tue May 24 10:06:24 PDT 2022","Tue May 24 10:36:32 PDT 2022","Fri May 27 10:36:32 PDT 2022","","","","1808","0% (0/0)","0% (0/0)","0% (0/0)","2","2","N2r7CNqD-R3tKlA2J9iido"
